from,to,weight,relation,participation,count
Deke,Beli,1,1,1,1
DemJ,Talk,1,1,1,1
dEnA,Revi,1,1,1,2
Denn,Beli,1,1,1,1
Deta,ThaC,1,1,1,1
Dick,Merr,1,1,1,1
Dipl,Beli,1,1,1,1
DJBu,Kami,1,1,1,1
DJDa,DAMN,3,1,5,6
DJKh,TheT,1,1,1,1
DJKh,Revi,1,1,1,1
DJSn,BornTh,1,1,1,1
DJSw,LYSA,1,1,3,4
DJSw,LYST,1,1,1,2
DJWh,BornTh,3,1,5,7
DMC,DAMN,1,1,1,1
DMC,Revi,1,1,1,1
DMcK,divi,1,1,1,1
DOCS,LYSA,1,1,1,1
DOCS,LYST,1,1,1,1
DoJo,ToIA,1,1,1,1
DORi,Revi,1,1,1,1
Doug,Take,1,1,1,1
Dove,Revi,1,1,1,1
Dr.Lu,Talk,1,1,1,2
Dr.Lu,Take,1,1,1,1
Drak,Loud,1,3,1,1
Drak,ThaC,1,3,1,2
Drak,Beli,1,3,1,1
Dre,ThaC,1,1,1,2
DVLP,ThaC,1,1,1,1
DwSi,Kami,1,1,1,1
DYSO,LYSA,1,1,1,1
EaMu,divi,1,1,1,1
EaSh,DAMN,1,1,1,1
Eddi,ThaC,1,1,1,1
Edge,SoEx,7,2,7,13
Edge,DAMN,1,3,1,1
EdSh,Redb,1,3,1,1
EdSh,Take,1,1,1,2
EdSh,divi,7,2,7,12
EdSh,repu,1,3,1,1
EdSh,Revi,1,1,1,1
EgWh,21by,1,1,1,1
EgWh,19by,3,1,3,3
Elij,Unap,1,1,1,1
Elli,Christ,1,1,1,1
Elof,Unap,1,1,1,1
EmHa,ToIA,1,1,1,1
EmHa,Revi,1,1,1,2
EmHa,KMag,1,1,1,1
EmHa,BornTo,1,1,1,1
EmHa,TheT,1,1,1,1
Emin,Loud,1,3,1,1
Emin,TheT,1,3,1,1
Emin,Unap,1,3,1,1
Emin,Kami,7,2,7,13
Emin,BeTr,1,3,1,1
Emin,Revi,7,2,7,19
ErAl,Revi,1,1,1,1
ErBo,Kami,1,1,1,1
EricBe,Beli,1,1,1,2
EricDa,Beli,1,1,1,1
EricW,ThaC,1,1,1,1
ErAl,TheT,1,1,1,1
ErikRe,ThaC,1,1,1,1
ErMc,Revi,1,1,1,1
Erne,Talk,1,1,1,1
ErSe,Revi,1,1,1,1
Eske,Unap,1,1,1,1
Este,Loud,3,1,3,4
Este,Talk,5,1,5,7
Este,Unap,1,1,1,1
Feli,Christ,1,1,1,1
Feli,Merr,1,1,1,1
Fern,BornTh,3,1,5,8
Fion,Take,1,1,1,1
Flip,Unap,1,1,1,1
Fonc,Beli,1,1,1,1
FoVa,divi,1,1,1,2
FoVa,Huma,1,1,1,1
Franc,ThaC,1,1,1,1
FrankL,Merr,1,1,1,1
FranzS,Christ,1,1,1,1
FranzX,Christ,1,1,1,1
FranzX,Unde,1,1,1,1
FranzX,Merr,1,1,1,1
Fras,21by,1,1,1,1
FrBa,Kami,1,1,1,1
FrCo,Huma,1,1,1,1
Fred,Beli,1,1,1,1
Freq,Revi,1,1,1,1
FrFa,repu,1,1,1,1
FrWa,Kami,1,1,1,1
FrWr,Revi,1,1,1,1
Futu,Unap,1,3,1,1
Futu,repu,1,3,1,1
GaDe,Revi,1,1,1,1
Gare,Talk,1,1,1,1
GaryL,Redb,1,3,1,1
GeBr,ToIA,1,1,1,1
Geof,Talk,1,1,1,1
GeorgeNo,Unde,1,1,1,1
GeorgH,Mylo,1,1,1,1
GeRe,ToIA,1,1,1,1
GeSa,Revi,1,1,1,1
GeWi,DAMN,1,1,1,1
Gior,Unap,1,1,1,2
GNBo,DAMN,1,1,1,1
Grae,Beli,1,1,1,1
Grah,Loud,1,1,1,1
GrKu,TheT,3,1,3,4
GrWe,21by,1,1,1,1
GrKu,BeTr,1,1,1,2
GrKu,DAMN,1,1,1,1
GuyB,Mylo,5,2,7,14
HarrySi,Unde,1,1,1,1
HarrySt,UpAl,3,2,3,3
HarrySt,Take,1,2,1,2
HARV,Unde,1,1,1,1
HarrySt,HaSt,7,2,7,10
Have,Christ,1,1,1,1
Have,Unde,1,1,1,1
Have,Merr,1,1,1,1
HaWi,Kami,1,1,1,1
HenryO,Unde,1,1,1,1
Herb,Beli,1,1,1,1
Herv,Mpcl,3,1,3,3
HisN,LYSA,1,1,3,3
HisN,LYST,1,1,1,1
HitB,Talk,1,1,1,1
HitB,Beli,1,1,1,1
Hitm,ThaC,1,1,1,1
HoSt,KMag,1,1,1,1
Hugh,Christ,1,1,1,1
Hugh,Merr,1,1,1,1
Humb,Christ,1,1,1,1
IDaP,Kami,3,1,3,4
IDaP,Revi,1,1,1,1
Infa,ThaC,1,1,1,1
InWr,Huma,1,1,1,1
Irvi,Christ,1,1,1,1
Irvi,Merr,1,1,1,1
J.Fre,Christ,1,1,1,1
J.Fre,Unde,1,1,1,1
J.Fre,Merr,1,1,1,1
JaAn,repu,3,1,5,6
JaAn,BeTr,1,1,1,2
JaBl,DAMN,1,1,1,1
JaBo,DAMN,1,1,1,1
Jack,Redb,1,1,1,1
Jaco,Beli,1,1,1,1
Jada,ThaC,1,3,1,1
JaFa,KMag,5,1,5,7
JaHa,Huma,1,1,1,1
JaHo,Revi,1,1,1,1
JaJe,BeTr,1,1,1,1
JamesBa,BornTo,1,1,1,1
JaFa,Unap,1,1,1,1
JamesLo,Christ,1,1,1,1
JaSc,UpAl,1,1,1,2
JaSc,Take,1,1,1,1
Jamiex,Talk,1,1,1,1
JaSc,Huma,3,1,3,4
JaSw,Kami,1,1,1,1
JaTo,LYSA,1,1,1,1
JaTo,LYST,1,1,1,1
JayLi,Christ,1,1,1,1
JayW.J,Christ,1,1,1,1
JayW.J,Merr,1,1,1,1
JayZ,Talk,1,3,1,1
JBo,Unap,1,1,1,1
JeAt,Mpcl,1,1,1,1
JeBh,HaSt,5,1,5,8
JeBh,KMag,3,1,1,2
JeffBa,Christ,1,1,1,1
JeBh,DooW,1,1,1,1
JeBh,TheT,1,1,1,1
