from,to,weight,relation,participation,count
MiSt,ToIA,1,1,1,1
JiNa,ToIA,5,1,5,7
Mlay,ToIA,1,1,1,2
TyJo,ToIA,1,1,1,2
PoBe,ToIA,1,1,1,1
DoJo,ToIA,1,1,1,1
JiGi,ToIA,1,1,1,1
BrGr,ToIA,1,1,1,1
DD.T.T,ToIA,1,1,1,1
ClSm,ToIA,1,1,1,1
GeBr,ToIA,1,1,1,1
RoKB,ToIA,1,1,1,1
RiWe,ToIA,1,1,1,1
EmHa,ToIA,1,1,1,1
GeRe,ToIA,1,1,1,1
RoSM,ToIA,1,1,1,1
YEBB,ToIA,1,3,1,1
Cam,ToIA,1,1,1,1
AnLo,ToIA,1,1,1,1
DaPe,ToIA,1,1,1,1
Timb,ToIA,1,1,1,1
Ranc,ToIA,1,1,1,1
AdCa,SoEx,7,2,7,13
LMJr,SoEx,7,2,7,13
Edge,SoEx,7,2,7,13
Bono,SoEx,7,2,7,13
ArRe,SoEx,1,1,1,1
AlHa,SoEx,1,1,1,1
DaHa,SoEx,1,1,1,1
KeLa,DAMN,7,2,7,14
Beko,DAMN,1,1,1,2
ToDa,DAMN,3,1,5,7
MWMI,DAMN,3,1,3,3
PJTe,DAMN,1,1,1,1
MiBu,DAMN,1,1,1,1
DJDa,DAMN,3,1,5,6
Soun,DAMN,3,1,5,8
BrBr,DAMN,1,1,1,1
PhLa,DAMN,1,1,1,1
BrMa,DAMN,1,1,1,1
Riha,DAMN,1,3,1,1
TeMa,DAMN,1,1,1,1
AnWi,DAMN,1,1,1,1
StLa,DAMN,1,1,1,1
Plus,DAMN,1,1,1,1
AdRo,DAMN,1,1,1,1
D.M.C.,DAMN,1,1,1,1
GNBo,DAMN,1,1,1,1
RABO,DAMN,1,1,1,1
ReRu,DAMN,1,1,1,1
Rick,DAMN,1,1,1,1
LeWh,DAMN,1,1,1,1
ChHa,DAMN,1,1,1,1
MaTA,DAMN,1,1,1,1
AlSo,DAMN,1,1,1,1
TeWa,DAMN,1,1,1,2
GrKu,DAMN,1,1,1,1
Zaca,DAMN,1,3,1,1
AdCa,DAMN,1,3,1,1
LMJr,DAMN,1,3,1,1
Edge,DAMN,1,3,1,1
Bono,DAMN,1,3,1,1
DaWa,DAMN,1,1,1,1
ThAl,DAMN,1,1,1,1
BrKo,DAMN,1,1,1,1
YuEx,DAMN,1,1,1,1
MiHe,DAMN,1,1,1,1
Card,DAMN,1,1,1,1
MaFr,DAMN,1,1,1,1
RiRI,DAMN,1,1,1,2
Juve,DAMN,1,1,1,1
JaBl,DAMN,1,1,1,1
JoSc,DAMN,1,1,1,1
SiMa,DAMN,1,1,1,1
JRCo,DAMN,1,1,1,1
PeMo,DAMN,1,1,1,1
PaBe,DAMN,1,1,1,1
NaPa,DAMN,1,1,1,1
JoFl,DAMN,1,1,1,1
KiGi,DAMN,1,1,1,1
JaBo,DAMN,1,1,1,1
PeUg,DAMN,1,1,1,1
JeMa,DAMN,1,1,1,1
GeWi,DAMN,1,1,1,1
EaSh,DAMN,1,1,1,1
DDRo,DAMN,1,1,1,1
BiCu,DAMN,1,1,1,1
DaTo,DAMN,1,1,1,1
