id,name,type,sex,origin,genre,language,year,tracks,second year
AnthonyB,Anthony Best,1,2,2,99,99,99,99,99
AnthonyF,Anthony Fields,1,2,8,99,99,99,99,99
AnthonyM,Anthony Moore,1,2,1,99,99,99,99,99
AnthonyR,Anthony Rossomando,1,2,2,99,99,99,99,99
AnAr,Antonina Armato,1,1,2,99,99,99,99,99
AntonioD,Antonio Dixon,1,2,2,99,99,99,99,99
AntonioR,Antonio Randolph,1,99,99,99,99,99,99,99
Aqua,Aquaman,1,99,99,99,99,99,99,99
Arab,Arabian Prince,1,2,2,99,99,99,99,99
ARAS,ARASHI,1,2,10,99,99,99,99,99
AriLe,Ari Levine,1,2,2,99,99,99,99,99
Aria,Ariana Grande,1,1,2,99,99,99,99,99
ArRe,Ariel Rechtshaid,1,2,2,99,99,99,99,99
Arst,Arston,1,2,10,99,99,99,99,99
ArtNe,Art Neville,1,2,2,99,99,99,99,99
ArtP,Artpop by Lady Gaga,2,55,55,1,1,2013,15,55
AshleyB,Ashley Boyd,1,99,99,99,99,99,99,99
AshleyJ,Ashley Joi Sadler,1,1,99,99,99,99,99,99
AshF,Ashton Foster,1,1,2,99,99,99,99,99
ASIL,ASIL (JPN),1,99,99,99,99,99,99,99
Audi,Audien,1,2,2,99,99,99,99,99
AUGU,AUGUST 08,1,2,2,99,99,99,99,99
Augus,August Rigo,1,2,7,99,99,99,99,99
Avey,Avey Tare,1,2,2,99,99,99,99,99
Avic,Avicii,1,2,9,99,99,99,99,99
Avri,Avril Lavigne,1,1,7,99,99,99,99,99
Axel,Axel Morgan (Singer),1,2,99,99,99,99,99,99
AyoT,Ayo The Producer,1,2,2,99,99,99,99,99
Ayum,Ayumi Miyazaki,1,2,10,99,99,99,99,99
B.o.B,B.o.B,1,2,2,99,99,99,99,99
Babe,Babel by Mumford & Sons,2,55,55,14,1,2012,12,55
Baby,Babyface,1,2,2,99,99,99,99,99
Bach,Bacharach & David,1,99,99,99,99,99,99,99
Back,Backpack,1,2,2,99,99,99,99,99
Bang,Bangladesh,1,2,2,99,99,99,99,99
Bard,Bard McNamee,1,2,2,99,99,99,99,99
Bari,Baria Qureshi,1,1,1,99,99,99,99,99
Barn,Barney Freeman,1,2,99,99,99,99,99,99
