from,to,weight,relation,participation,count
J.Fre,Merr,1,1,1,1
Jack,Redb,1,1,1,1
Jaco,Beli,1,1,1,1
Jada,ThaC,1,3,1,1
JamesLo,Christ,1,1,1,1
JamesBa,BornTo,1,1,1,1
JamesFa,Unap,1,1,1,1
Jamiex,Talk,1,1,1,1
JamieS,UpAl,1,1,1,2
JamieS,Take,1,1,1,1
JayLi,Christ,1,1,1,1
JayW.J,Christ,1,1,1,1
JayW.J,Merr,1,1,1,1
JayZ,Talk,1,3,1,1
JBo,Unap,1,1,1,1
JeffBa,Christ,1,1,1,1
JeffSi,19by,1,1,1,1
JeffBh,DooW,1,1,1,1
JeffBh,TheT,1,1,1,1
Jepp,BornTh,1,1,1,2
Jere,DooW,1,1,1,1
JHar,Beli,1,1,1,1
JimI,BornTo,1,1,1,1
Jimm,UpAl,1,1,1,1
Joan,Christ,1,1,1,1
JohnMe,DooW,1,1,1,1
JohnHi,Talk,1,1,1,1
JohnRy,Take,1,1,1,1
JohnHi,TheT,1,1,1,1
JohnFr,Christ,1,1,1,1
JohnFr,Unde,1,1,1,1
JohnHe,Merr,1,1,1,1
JohnLe,ThaC,1,3,1,1
JohnnyMo,Merr,1,1,1,1
JohnnyMa,Christ,1,1,1,1
JonK,TheT,1,1,1,1
JonnyBu,Mylo,5,2,7,14
JonnyGr,Beli,1,1,1,1
Jóns,Mylo,1,1,1,1
JoseF,Christ,1,1,1,1
JosephM,Christ,1,1,1,1
JosephM,Unde,1,1,1,1
JosephM,Merr,1,1,1,1
Josh,DooW,1,1,1,1
Jule,Merr,1,1,1,1
Juli,Take,1,1,1,1
JustinBi,Unde,5,2,5,7
JustinPa,BornTo,3,1,3,5
JustinBi,Beli,5,1,7,12
JustinPa,Unap,1,1,1,1
Kath,Unde,1,1,1,1
Kave,DooW,1,1,1,1
KellyCl,UpAl,1,1,1,1
KellyLu,Beli,1,1,1,1
Keno,ThaC,1,1,1,1
KevinMc,Unde,1,1,1,1
KevinRa,Talk,1,1,1,1
KevinCol,ThaC,1,1,1,1
KevinCos,Unap,1,3,1,1
KimG,Christ,1,1,1,1
Kjar,Mylo,1,1,1,1
Knan,DooW,1,1,1,1
Kool,Take,1,1,1,1
Kris,Take,1,1,1,2
Labr,Unap,1,1,1,1
Lady,BornTh,5,2,7,14
LaMa,ThaC,1,1,1,1
Lana,BornTo,7,2,7,12
LaNe,ThaC,1,1,1,1
Laurence,21by,1,1,1,1
LaurenC,Loud,1,1,1,1
Leig,Merr,1,1,1,1
LeonM,19by,1,1,1,1
LiamP,UpAl,3,2,3,3
LiamP,Take,3,2,3,3
LilW,ThaC,7,2,7,15
Lily,TheT,1,3,1,1
Lind,UpAl,1,1,1,1
Livv,Unap,1,1,1,1
LizRos,Redb,1,1,1,1
LizRod,TheT,1,1,1,1
Lord,ThaC,1,1,1,1
LosD,Unap,1,1,1,1
LouB,Merr,1,1,1,1
LouisT,UpAl,3,2,3,3
LouisT,Take,3,2,3,3
LP,Loud,1,1,1,1
Luda,Beli,1,3,1,1
Mack,ThaC,3,1,5,8
Maej,Beli,1,1,1,1
Marcos,Talk,1,1,1,1
MarcusMa,ThaC,1,1,1,1
MarcusMu,Babe,7,2,7,12
MariahC,Christ,1,1,1,1
MariahC,Unde,1,3,1,1
Matt,UpAl,1,1,1,1
MaxM,Redb,1,1,3,3
MaxM,Beli,1,1,1,1
MaxM,TheT,1,1,1,1
Mayn,Loud,1,1,1,2
MdL,Beli,1,1,1,2
Mela,Unde,1,1,1,1
MelT,Unde,1,1,1,1
Melv,Loud,1,1,1,1
Mere,Christ,1,1,1,1
MichaelBu,Christ,1,2,3,3
MichaelJa,Unap,1,1,1,1
MikeCar,DooW,1,1,1,1
MikeJon,ThaC,1,1,1,1
MikeDal,BornTo,1,1,1,1
MikePos,Beli,1,1,1,1
MikeWiL,Unap,1,1,1,1
Mikke,Loud,3,1,3,3
Mikke,Talk,3,1,3,3
Mikke,Unap,3,1,3,3
Mikky,Unap,1,3,1,1
Mitchum,DooW,3,1,1,2
Nas,ThaC,1,3,1,2
Nasr,Unde,1,1,1,2
Nasr,Beli,3,1,3,3
NateR,TheT,1,3,1,1
NathanC,Unap,1,1,1,1
NedW,Merr,1,1,1,1
Need,DooW,1,1,1,1
NeYo,Unap,1,1,1,1
Nial,UpAl,3,2,3,3
Nial,Take,1,2,1,2
NickMo,19by,1,1,1,1
NickTu,Unde,1,1,1,1
NickiM,Loud,1,3,1,1
NickiM,Beli,1,1,1,1
NickyR,Unap,1,1,1,1
Nius,Beli,1,1,1,1
NoI.D.,Talk,1,1,1,1
NoI.D.,Unap,1,1,1,1
OAK,Unap,1,1,1,1
Oliv,Talk,1,1,1,1
ONHE,ThaC,1,1,1,1
Orri,Mylo,1,1,1,1
Orvi,ThaC,1,1,1,1
P.Did,Talk,1,1,1,1
Park,Unap,1,1,1,1
PatrickJQ,Beli,1,1,1,1
PatrickPe,DooW,1,1,1,1
PatrickSt,DooW,1,1,1,1
PaulEp,21by,3,1,3,3
PaulMe,UpAl,1,1,1,1
Penn,BornTo,1,1,1,1
PeterAl,Mylo,1,1,1,1
PeterSv,Take,1,1,1,1
PeterWa,Take,1,1,1,1
PhilLa,DooW,5,1,7,10
PhilipS,Christ,1,1,1,1
PhilSp,Christ,1,1,1,1
Pink,TheT,5,2,7,12
Polo,Loud,1,1,1,1
Polo,ThaC,1,1,1,1
PopW,Unap,1,1,1,1
Porc,UpAl,1,1,1,1
Porl,21by,1,1,1,1
Pris,Loud,1,1,1,1
Pris,Talk,1,1,1,1
RalphB,Christ,1,1,1,1
RalphB,Merr,1,1,1,1
Rami,UpAl,3,1,3,3
Rami,Take,3,1,5,6
RayE,Christ,1,1,1,1
RedO,BornTh,3,1,3,3
RedO,UpAl,1,1,1,1
RichardB,Christ,1,1,1,1
RickNo,BornTo,1,1,1,2
RickCu,ThaC,1,1,1,1
RickRo,ThaC,1,3,1,1
Riha,Talk,3,2,3,4
Riha,Unap,5,2,7,12
Rive,Loud,1,1,1,1
RobertSm,21by,1,1,1,1
RobertWe,Unde,1,1,1,1
RobertBu,Merr,1,1,1,1
RobHo,ThaC,1,1,1,1
RobSw,Talk,1,1,1,1
Rodn,Beli,1,1,1,2
RodS,Merr,1,2,1,1
Roge,21by,1,1,1,1
Romy,Talk,1,1,1,1
Ross,Beli,1,1,1,1
RyanT,21by,1,1,1,2
Sach,19by,1,1,1,1
Sain,DooW,1,1,1,1
SAKP,Loud,1,1,1,1
SamDe,Unap,1,1,1,1
SamHo,Take,1,1,1,1
SammyC,Merr,1,1,1,1
Sand,Loud,1,1,1,2
Sava,UpAl,3,1,3,5
Sava,Take,3,1,5,6
Sava,Beli,1,1,1,1
Scot,Loud,1,1,1,1
Shel,Redb,1,1,3,3
Shel,Take,1,1,1,2
Shel,TheT,1,1,1,1
Shep,UpAl,1,1,1,1
Shon,Loud,1,1,1,1
Shyn,ThaC,1,3,1,1
Sia,Unap,1,1,1,1
SimonGa,21by,1,1,1,1
SirN,Beli,1,1,1,2
Skyl,Loud,1,1,1,1
Sniz,ThaC,1,1,1,1
SoFL,Beli,1,1,1,1
Soun,Loud,1,1,1,1
Stac,Loud,1,1,1,1
StephenHa,ThaC,1,1,1,1
SteveNe,Christ,1,1,1,1
SteveWy,Talk,1,1,1,1
SteveDa,TheT,1,1,1,1
SteveWy,Unap,1,1,1,1
SteveMa,UpAl,1,1,1,1
SteveRo,UpAl,1,1,1,2
SteveRo,Take,1,1,1,1
Supa,DooW,3,1,1,2
Tayl,Redb,7,2,7,16
Tebe,Take,1,1,1,1
Tech,ThaC,1,3,1,1
Tedd,UpAl,1,1,1,1
TedD,Babe,7,2,7,12
TheAl,ThaC,1,1,1,1
TheDr,Unap,3,1,3,4
TheNo,Talk,1,1,1,1
Ther,Loud,1,1,1,2
Ther,Unap,1,1,1,1
TimLa,BornTo,1,1,1,2
TimMi,Unde,1,1,1,1
TimothyT,Loud,1,1,1,2
TimothyT,Unap,1,1,1,1
TMin,ThaC,1,1,1,1
TobyG,UpAl,1,1,1,1
TomFl,UpAl,1,1,1,1
TomFl,Take,1,1,1,1
TomMe,UpAl,1,1,1,1
TommyLe,Take,1,1,1,1
TommyP.G,Take,1,1,1,1
TommyPa,Beli,1,1,1,1
Tony,Christ,1,1,1,1
TorH,Loud,3,1,3,3
TorH,Talk,3,1,3,3
TorH,Unap,3,1,3,3
TPai,ThaC,1,3,1,1
Trac,Loud,1,1,1,1
Trav,Beli,1,1,1,1
Tric,Unde,1,1,1,1
Tric,Loud,1,1,1,1
Ursu,Loud,1,1,1,1
WalterAf,Christ,1,1,1,1
WalterAf,Unde,1,1,1,1
WalterKe,Christ,1,1,1,1
WalterRo,Christ,1,1,1,1
Wayn,UpAl,1,1,1,2
Wayn,Take,1,1,1,1
WillCh,Mylo,5,2,7,14
WilliamAt,ThaC,1,1,1,1
WillyWi,ThaC,3,1,3,3
Wins,Babe,7,2,7,12
Youn,ThaC,1,3,1,1
Yung,ThaC,1,1,1,1
ZAYN,UpAl,3,2,3,3
ZAYN,Take,1,2,1,2
Zedd,Beli,1,1,1,1
